ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
922,Friendly,16/05/1931,Belgium,1,4,England,,TRUE
923,Friendly,24/05/1931,Germany,0,6,Austria,,TRUE
924,Friendly,24/05/1931,Switzerland,2,3,Scotland,,TRUE
925,Nordic Championship,25/05/1931,Denmark,3,1,Norway,,TRUE
926,Friendly,31/05/1931,Portugal,3,2,Belgium,,TRUE
927,International Cup,13/06/1931,Czechoslovakia,7,3,Switzerland,,TRUE
928,Friendly,14/06/1931,Denmark,0,2,Netherlands,,TRUE
929,Friendly,14/06/1931,Poland,0,4,Czechoslovakia,,TRUE
930,Friendly,16/06/1931,Austria,2,0,Switzerland,,TRUE
931,Friendly,17/06/1931,Sweden,0,0,Germany,,TRUE
932,Friendly,21/06/1931,Norway,2,2,Germany,,TRUE
933,Nordic Championship,28/06/1931,Sweden,3,1,Denmark,,TRUE
934,Copa Chevallier Boutell,04/07/1931,Argentina,1,1,Paraguay,,TRUE
935,Copa Chevallier Boutell,09/07/1931,Argentina,3,1,Paraguay,,TRUE
936,Friendly,23/08/1931,Poland,2,3,Romania,,TRUE
937,Copa Rio Branco,06/09/1931,Brazil,2,0,Uruguay,,TRUE
938,Friendly,13/09/1931,Austria,5,0,Germany,,TRUE
939,Friendly,27/09/1931,Germany,4,2,Denmark,,TRUE
940,Friendly,11/10/1931,Belgium,2,1,Poland,,TRUE
941,Nordic Championship,11/10/1931,Denmark,2,3,Finland,,TRUE
942,British Championship,17/10/1931,Northern Ireland,2,6,England,,TRUE
943,Friendly,25/10/1931,Poland,6,3,Yugoslavia,,TRUE
944,British Championship,31/10/1931,Wales,2,3,Scotland,,TRUE
945,British Championship,18/11/1931,England,3,1,Wales,,TRUE
946,Friendly,29/11/1931,France,3,4,Netherlands,,TRUE
947,International Cup,29/11/1931,Switzerland,1,8,Austria,,TRUE
948,British Championship,05/12/1931,Northern Ireland,4,0,Wales,,TRUE
949,Friendly,06/12/1931,Belgium,2,1,Switzerland,,TRUE
950,Friendly,09/12/1931,England,7,1,Spain,,TRUE
951,Friendly,13/12/1931,Republic of Ireland,0,5,Spain,,TRUE
952,International Cup,14/02/1932,Italy,3,0,Switzerland,,TRUE
953,Friendly,06/03/1932,Germany,2,0,Switzerland,,TRUE
954,Friendly,20/03/1932,Belgium,1,4,Netherlands,,TRUE
955,Friendly,20/03/1932,Switzerland,3,3,France,,TRUE
956,British Championship,09/04/1932,England,3,0,Scotland,,TRUE
957,Friendly,10/04/1932,France,1,2,Italy,,TRUE
958,Friendly,17/04/1932,Netherlands,2,1,Belgium,,TRUE
959,International Cup,17/04/1932,Switzerland,5,1,Czechoslovakia,,TRUE
960,Friendly,24/04/1932,Spain,2,1,Yugoslavia,,TRUE
961,Friendly,01/05/1932,Belgium,5,2,France,,TRUE
962,Friendly,03/05/1932,Portugal,3,2,Yugoslavia,,TRUE
963,Friendly,08/05/1932,France,1,3,Scotland,,TRUE
964,Friendly,08/05/1932,Netherlands,0,2,Republic of Ireland,,TRUE
965,Friendly,15/05/1932,Argentina,2,0,Uruguay,,TRUE
966,Friendly,18/05/1932,Uruguay,1,0,Argentina,,TRUE
967,Friendly,29/05/1932,Netherlands,1,2,Czechoslovakia,,TRUE
968,Friendly,29/05/1932,Yugoslavia,0,3,Poland,,TRUE
969,Friendly,05/06/1932,Denmark,3,4,Belgium,,TRUE
970,Friendly,05/06/1932,Yugoslavia,2,1,France,,TRUE
971,Friendly,09/06/1932,Bulgaria,3,5,France,,TRUE
972,Friendly,12/06/1932,Romania,6,3,France,,TRUE
973,Friendly,12/06/1932,Sweden,3,1,Belgium,,TRUE
974,Nordic Championship,19/06/1932,Denmark,3,1,Sweden,,TRUE
975,International Cup,19/06/1932,Switzerland,3,1,Hungary,,TRUE
976,Friendly,01/07/1932,Finland,1,4,Germany,,TRUE
977,Friendly,10/07/1932,Poland,2,0,Sweden,,TRUE
978,Nordic Championship,30/08/1932,Finland,4,2,Denmark,,TRUE
979,Friendly,25/09/1932,Germany,4,3,Sweden,,TRUE
980,Nordic Championship,25/09/1932,Norway,1,2,Denmark,,TRUE
981,Friendly,02/10/1932,Poland,2,1,Latvia,,TRUE
982,Friendly,02/10/1932,Romania,0,5,Poland,,TRUE
983,British Championship,17/10/1932,England,1,0,Northern Ireland,,TRUE
984,International Cup,23/10/1932,Austria,3,1,Switzerland,,TRUE
985,British Championship,26/10/1932,Scotland,2,5,Wales,,TRUE
986,Friendly,30/10/1932,Hungary,2,1,Germany,,TRUE
987,Friendly,06/11/1932,Switzerland,2,1,Sweden,,TRUE
988,British Championship,16/11/1932,Wales,0,0,England,,TRUE
989,Friendly,04/12/1932,Germany,0,2,Netherlands,,TRUE
990,Copa Rio Branco,04/12/1932,Uruguay,1,2,Brazil,,TRUE
991,Friendly,07/12/1932,England,4,3,Austria,,TRUE
992,British Championship,07/12/1932,Wales,4,1,Northern Ireland,,TRUE
993,Friendly,11/12/1932,Belgium,1,6,Austria,,TRUE
994,Friendly,01/01/1933,Italy,3,1,Germany,,TRUE
995,Friendly,21/01/1933,Uruguay,2,1,Argentina,,TRUE
996,Friendly,22/01/1933,Netherlands,0,2,Switzerland,,TRUE
997,Friendly,29/01/1933,Portugal,1,0,Hungary,,TRUE
998,Friendly,05/02/1933,Argentina,4,1,Uruguay,,TRUE
999,Friendly,12/02/1933,Belgium,2,3,Italy,,TRUE
1000,Friendly,12/02/1933,France,0,4,Austria,,TRUE
1001,Friendly,05/03/1933,Netherlands,1,2,Hungary,,TRUE
1002,Friendly,12/03/1933,Switzerland,3,3,Belgium,,TRUE
1003,Friendly,19/03/1933,Germany,3,3,France,,TRUE
1004,Friendly,26/03/1933,France,3,0,Belgium,,TRUE
1005,British Championship,01/04/1933,Scotland,2,1,England,,TRUE
1006,Friendly,02/04/1933,Spain,3,0,Portugal,,TRUE
1007,International Cup,02/04/1933,Switzerland,0,3,Italy,,TRUE
1008,Friendly,09/04/1933,Belgium,1,3,Netherlands,,TRUE
1009,Friendly,23/04/1933,France,1,0,Spain,,TRUE
1010,Friendly,30/04/1933,Yugoslavia,1,1,Spain,,TRUE
1011,Friendly,07/05/1933,Netherlands,1,2,Belgium,,TRUE
1012,Friendly,07/05/1933,Switzerland,4,1,Yugoslavia,,TRUE
1013,Friendly,13/05/1933,Italy,1,1,England,,TRUE
1014,Friendly,20/05/1933,Switzerland,0,4,England,,TRUE
1015,Friendly,21/05/1933,Spain,13,0,Bulgaria,,TRUE
1016,Friendly,25/05/1933,France,1,1,Wales,,TRUE
1017,Friendly,04/06/1933,Poland,0,1,Belgium,,TRUE
1018,Friendly,05/06/1933,Australia,4,2,New Zealand,,TRUE
1019,Friendly,10/06/1933,Czechoslovakia,4,0,France,,TRUE
1020,Friendly,11/06/1933,Austria,4,1,Belgium,,TRUE
1021,Nordic Championship,11/06/1933,Denmark,2,2,Norway,,TRUE
1022,Friendly,17/06/1933,Australia,6,4,New Zealand,,TRUE
1023,Nordic Championship,18/06/1933,Sweden,2,3,Denmark,,TRUE
1024,Friendly,24/06/1933,Australia,4,2,New Zealand,,TRUE
1025,Friendly,10/09/1933,Poland,4,3,Yugoslavia,,TRUE
1026,International Cup,17/09/1933,Hungary,3,0,Switzerland,,TRUE
1027,FIFA World Cup qualification,24/09/1933,Yugoslavia,2,2,Switzerland,,TRUE
1028,British Championship,04/10/1933,Wales,3,2,Scotland,,TRUE
1029,Friendly,04/10/1933,Silesia,1,2,Poland,,TRUE
1030,Nordic Championship,08/10/1933,Denmark,2,0,Finland,,TRUE
1031,British Championship,14/10/1933,Northern Ireland,0,3,England,,TRUE
1032,FIFA World Cup qualification,15/10/1933,Poland,1,2,Czechoslovakia,,TRUE
1033,Friendly,22/10/1933,Germany,8,1,Belgium,,TRUE
1034,FIFA World Cup qualification,29/10/1933,Switzerland,2,2,Romania,,TRUE
1035,British Championship,04/11/1933,Northern Ireland,1,1,Wales,,TRUE
1036,Friendly,05/11/1933,Germany,2,2,Norway,,TRUE
1037,British Championship,15/11/1933,England,1,2,Wales,,TRUE
1038,Friendly,19/11/1933,Switzerland,0,2,Germany,,TRUE
1039,Friendly,26/11/1933,Belgium,2,2,Denmark,,TRUE
1040,Friendly,03/12/1933,Germany,1,0,Poland,,TRUE
1041,International Cup,03/12/1933,Italy,5,2,Switzerland,,TRUE
1042,Friendly,06/12/1933,England,4,1,France,,TRUE
1043,Friendly,10/12/1933,Netherlands,0,1,Austria,,TRUE
1044,Friendly,14/12/1933,Uruguay,0,1,Argentina,,TRUE
1045,Friendly,14/01/1934,Germany,3,1,Hungary,,TRUE
1046,Friendly,21/01/1934,Belgium,2,3,France,,TRUE
1047,Friendly,02/02/1934,Catalonia,0,2,Spain,,TRUE
1048,FIFA World Cup qualification,25/02/1934,Republic of Ireland,4,4,Belgium,,FALSE
1049,FIFA World Cup qualification,04/03/1934,Mexico,3,2,Cuba,,TRUE
1050,Friendly,11/03/1934,France,0,1,Switzerland,,TRUE
1051,FIFA World Cup qualification,11/03/1934,Luxembourg,1,9,Germany,,TRUE
1052,FIFA World Cup qualification,11/03/1934,Mexico,5,0,Cuba,,TRUE
1053,Friendly,11/03/1934,Netherlands,9,3,Belgium,,TRUE
1054,FIFA World Cup qualification,11/03/1934,Spain,9,0,Portugal,,TRUE
1055,FIFA World Cup qualification,18/03/1934,Mexico,4,1,Cuba,,TRUE
1056,FIFA World Cup qualification,18/03/1934,Portugal,1,2,Spain,,TRUE
1057,Friendly,25/03/1934,France,1,2,Czechoslovakia,,TRUE
1058,International Cup,25/03/1934,Switzerland,2,3,Austria,,TRUE
1059,FIFA World Cup qualification,08/04/1934,Netherlands,5,2,Republic of Ireland,,TRUE
1060,British Championship,14/04/1934,England,3,0,Scotland,,TRUE
1061,FIFA World Cup qualification,15/04/1934,Luxembourg,1,6,France,,TRUE
1062,FIFA World Cup qualification,29/04/1934,Belgium,2,4,Netherlands,,TRUE
1063,Friendly,10/05/1934,Hungary,2,1,England,,TRUE
1064,Friendly,10/05/1934,Netherlands,4,5,France,,TRUE
1065,Friendly,13/05/1934,Japan,1,7,Indonesia,,FALSE
1066,Friendly,16/05/1934,Czechoslovakia,2,1,England,,TRUE
1067,Friendly,20/05/1934,China PR,4,3,Japan,,FALSE
1068,Friendly,21/05/1934,Denmark,4,2,Poland,,TRUE
1069,Friendly,23/05/1934,Sweden,4,2,Poland,,TRUE
1070,FIFA World Cup qualification,24/05/1934,Mexico,2,4,United States,,FALSE
1071,Friendly,03/06/1934,Yugoslavia,8,4,Brazil,,TRUE
1072,Nordic Championship,17/06/1934,Denmark,3,5,Sweden,,TRUE
1073,Friendly,17/06/1934,Catalonia,2,1,Brazil,,TRUE
1074,Friendly,24/06/1934,Catalonia,2,2,Brazil,,TRUE
1075,Nordic Championship,03/07/1934,Finland,2,1,Denmark,,TRUE
1076,Friendly,18/07/1934,Uruguay,2,2,Argentina,,TRUE
1077,Friendly,15/08/1934,Argentina,1,0,Uruguay,,TRUE
1078,Friendly,26/08/1934,Yugoslavia,4,1,Poland,,TRUE
1079,Friendly,09/09/1934,Poland,2,5,Germany,,TRUE
1080,Nordic Championship,23/09/1934,Norway,3,1,Denmark,,TRUE
1081,British Championship,29/09/1934,Wales,0,4,England,,TRUE
1082,Friendly,07/10/1934,Denmark,2,5,Germany,,TRUE
1083,Friendly,14/10/1934,Latvia,2,6,Poland,,TRUE
1084,Friendly,14/10/1934,Poland,3,3,Romania,,TRUE
1085,International Cup,14/10/1934,Switzerland,2,2,Czechoslovakia,,TRUE
1086,Friendly,04/11/1934,Switzerland,2,4,Netherlands,,TRUE
1087,International Cup,11/11/1934,Austria,3,0,Switzerland,,TRUE
1088,Friendly,14/11/1934,England,3,2,Italy,,TRUE
1089,British Championship,21/11/1934,Scotland,3,2,Wales,,TRUE
1090,Friendly,16/12/1934,France,3,2,Yugoslavia,,TRUE
1091,Copa America,06/01/1935,Argentina,4,1,Chile,,FALSE
1092,Copa America,13/01/1935,Peru,0,1,Uruguay,,TRUE
1093,Copa America,18/01/1935,Chile,1,2,Uruguay,,FALSE
1094,Copa America,20/01/1935,Peru,1,4,Argentina,,TRUE
1095,Friendly,24/01/1935,Spain,2,0,France,,TRUE
1096,Copa America,27/01/1935,Argentina,0,3,Uruguay,,FALSE
1097,Friendly,27/01/1935,Germany,4,0,Switzerland,,TRUE
1098,British Championship,06/02/1935,England,2,1,Northern Ireland,,TRUE
1099,Friendly,17/02/1935,Italy,2,1,France,,TRUE
1100,Friendly,17/02/1935,Netherlands,2,3,Germany,,TRUE
1101,International Cup,17/03/1935,Czechoslovakia,3,1,Switzerland,,TRUE
1102,Friendly,17/03/1935,France,1,3,Germany,,TRUE
1103,British Championship,27/03/1935,Wales,3,1,Northern Ireland,,TRUE
1104,Friendly,31/03/1935,Netherlands,4,2,Belgium,,TRUE
1105,British Championship,06/04/1935,Scotland,2,0,England,,TRUE
1106,Friendly,14/04/1935,Belgium,1,1,France,,TRUE
1107,International Cup,14/04/1935,Switzerland,6,2,Hungary,,TRUE
1108,Friendly,28/04/1935,Belgium,1,6,Germany,,TRUE
1109,Friendly,05/05/1935,Portugal,3,3,Spain,,TRUE
1110,Friendly,05/05/1935,Switzerland,1,0,Republic of Ireland,,TRUE
1111,Friendly,08/05/1935,Germany,3,1,Republic of Ireland,,TRUE
1112,Friendly,12/05/1935,Austria,5,2,Poland,,TRUE
1113,Friendly,12/05/1935,Belgium,0,2,Netherlands,,TRUE
1114,Friendly,12/05/1935,Germany,1,2,Spain,,TRUE
1115,Friendly,18/05/1935,Netherlands,0,1,England,,TRUE
1116,Friendly,19/05/1935,France,2,0,Hungary,,TRUE
1117,Friendly,19/05/1935,United States,1,5,Scotland,,TRUE
1118,Friendly,26/05/1935,Germany,2,1,Czechoslovakia,,TRUE
1119,Friendly,30/05/1935,Belgium,2,2,Switzerland,,TRUE
1120,Friendly,09/06/1935,United States,1,4,Scotland,,TRUE
1121,Nordic Championship,16/06/1935,Sweden,3,1,Denmark,,TRUE
1122,Nordic Championship,23/06/1935,Denmark,1,0,Norway,,TRUE
1123,Friendly,27/06/1935,Norway,1,1,Germany,,TRUE
1124,Friendly,30/06/1935,Sweden,3,1,Germany,,TRUE
1125,Friendly,18/07/1935,Uruguay,1,1,Argentina,,TRUE
1126,Friendly,15/08/1935,Argentina,3,0,Uruguay,,TRUE
1127,Friendly,18/08/1935,Germany,6,0,Finland,,TRUE
1128,Friendly,18/08/1935,Luxembourg,0,1,Germany,,TRUE
1129,Friendly,18/08/1935,Poland,2,3,Yugoslavia,,TRUE
1130,Friendly,25/08/1935,Germany,4,2,Romania,,TRUE
1131,Friendly,15/09/1935,Germany,5,0,Estonia,,TRUE
1132,Friendly,15/09/1935,Germany,1,0,Poland,,TRUE
1133,Friendly,15/09/1935,Poland,3,3,Latvia,,TRUE
1134,British Championship,05/10/1935,Wales,1,1,Scotland,,TRUE
1135,Nordic Championship,06/10/1935,Denmark,5,1,Finland,,TRUE
1136,Friendly,06/10/1935,Poland,1,0,Austria,,TRUE
1137,Friendly,13/10/1935,Germany,3,0,Latvia,,TRUE
1138,British Championship,19/10/1935,Northern Ireland,1,3,England,,TRUE
1139,Friendly,20/10/1935,Germany,4,2,Bulgaria,,TRUE
1140,Friendly,27/10/1935,Switzerland,2,1,France,,TRUE
1141,Friendly,03/11/1935,Netherlands,3,0,Denmark,,TRUE
1142,Friendly,03/11/1935,Romania,4,1,Poland,,TRUE
1143,Friendly,03/11/1935,Switzerland,2,0,Norway,,TRUE
1144,Friendly,10/11/1935,France,2,0,Sweden,,TRUE
1145,Friendly,10/11/1935,Hungary,6,1,Switzerland,,TRUE
1146,Friendly,17/11/1935,Belgium,5,1,Sweden,,TRUE
1147,Friendly,04/12/1935,England,3,0,Germany,,TRUE
1148,Friendly,08/12/1935,Republic of Ireland,3,5,Netherlands,,TRUE
1149,Friendly,12/01/1936,France,1,6,Netherlands,,TRUE
1150,Friendly,19/01/1936,Spain,4,5,Austria,,TRUE
1151,Friendly,26/01/1936,Portugal,2,3,Austria,,TRUE
1152,British Championship,05/02/1936,England,1,2,Wales,,TRUE
1153,Friendly,09/02/1936,France,0,3,Czechoslovakia,,TRUE
1154,Friendly,16/02/1936,Belgium,0,2,Poland,,TRUE
1155,Friendly,23/02/1936,Spain,1,2,Germany,,TRUE
1156,Friendly,27/02/1936,Portugal,1,3,Germany,,TRUE
1157,Friendly,08/03/1936,France,3,0,Belgium,,TRUE
1158,British Championship,11/03/1936,Northern Ireland,3,2,Wales,,TRUE
1159,Friendly,15/03/1936,Hungary,3,2,Germany,,TRUE
1160,Friendly,17/03/1936,Republic of Ireland,1,0,Switzerland,,TRUE
1161,Friendly,29/03/1936,Netherlands,8,0,Belgium,,TRUE
1162,British Championship,04/04/1936,England,1,1,Scotland,,TRUE
1163,Friendly,05/04/1936,Switzerland,1,2,Italy,,TRUE
1164,Friendly,03/05/1936,Belgium,1,1,Netherlands,,TRUE
1165,Friendly,03/05/1936,Switzerland,0,2,Spain,,TRUE
1166,Friendly,06/05/1936,Austria,2,1,England,,TRUE
1167,Friendly,09/05/1936,Belgium,3,2,England,,TRUE
1168,Friendly,24/05/1936,Switzerland,1,1,Belgium,,TRUE
1169,Nordic Championship,14/06/1936,Denmark,4,3,Sweden,,TRUE
1170,Friendly,18/06/1936,Norway,1,2,Switzerland,,TRUE
1171,Friendly,21/06/1936,Sweden,5,2,Switzerland,,TRUE
1172,Nordic Championship,30/06/1936,Finland,1,4,Denmark,,TRUE
1173,Friendly,04/07/1936,New Zealand,1,7,Australia,,TRUE
1174,Friendly,11/07/1936,New Zealand,0,10,Australia,,TRUE
1175,Friendly,18/07/1936,New Zealand,1,4,Australia,,TRUE
1176,Friendly,09/08/1936,Argentina,1,0,Uruguay,,TRUE
1177,Friendly,06/09/1936,Latvia,3,3,Poland,,TRUE
1178,Friendly,06/09/1936,Yugoslavia,9,3,Poland,,TRUE
1179,Friendly,13/09/1936,Poland,1,1,Germany,,TRUE
1180,Nordic Championship,20/09/1936,Norway,3,3,Denmark,,TRUE
1181,Friendly,20/09/1936,Uruguay,2,1,Argentina,,TRUE
1182,Friendly,27/09/1936,Czechoslovakia,1,2,Germany,,TRUE
1183,Friendly,27/09/1936,Germany,7,2,Luxembourg,,TRUE
1184,Friendly,04/10/1936,Denmark,2,1,Poland,,TRUE
1185,Friendly,14/10/1936,Scotland,2,0,Germany,,TRUE
1186,Friendly,17/10/1936,Republic of Ireland,5,2,Germany,,TRUE
1187,British Championship,17/10/1936,Wales,2,1,England,,TRUE
1188,International Cup,25/10/1936,Italy,4,2,Switzerland,,TRUE
1189,Friendly,01/11/1936,Netherlands,3,3,Norway,,TRUE
1190,International Cup,08/11/1936,Switzerland,1,3,Austria,,TRUE
1191,Friendly,15/11/1936,Germany,2,2,Italy,,TRUE
1192,British Championship,18/11/1936,England,3,1,Northern Ireland,,TRUE
1193,Friendly,02/12/1936,England,6,2,Hungary,,TRUE
1194,British Championship,02/12/1936,Scotland,1,2,Wales,,TRUE
1195,Friendly,13/12/1936,France,1,0,Yugoslavia,,TRUE
1196,Copa America,27/12/1936,Brazil,3,2,Peru,,FALSE
1197,Copa America,30/12/1936,Argentina,2,1,Chile,,TRUE
1198,Copa America,02/01/1937,Paraguay,4,2,Uruguay,,FALSE
1199,Copa America,03/01/1937,Brazil,6,4,Chile,,FALSE
1200,Copa America,06/01/1937,Peru,2,4,Uruguay,,FALSE
1201,Copa America,09/01/1937,Argentina,6,1,Paraguay,,TRUE
1202,Copa America,10/01/1937,Chile,3,0,Uruguay,,FALSE
1203,Copa America,13/01/1937,Brazil,5,0,Paraguay,,FALSE
1204,Copa America,16/01/1937,Argentina,1,0,Peru,,TRUE
1205,Copa America,19/01/1937,Brazil,3,2,Uruguay,,FALSE
1206,Copa America,23/01/1937,Argentina,2,3,Uruguay,,TRUE
1207,Friendly,24/01/1937,France,1,2,Austria,,TRUE
1208,Copa America,30/01/1937,Argentina,1,0,Brazil,,TRUE
1209,Friendly,31/01/1937,Germany,2,2,Netherlands,,TRUE
1210,Copa America,01/02/1937,Argentina,2,0,Brazil,,TRUE
1211,Friendly,21/02/1937,Belgium,3,1,France,,TRUE
1212,International Cup,21/02/1937,Czechoslovakia,5,3,Switzerland,,TRUE
1213,Friendly,07/03/1937,Netherlands,2,1,Switzerland,,TRUE
1214,British Championship,17/03/1937,Wales,4,1,Northern Ireland,,TRUE
1215,Friendly,21/03/1937,Germany,4,0,France,,TRUE
1216,Friendly,21/03/1937,Luxembourg,2,3,Germany,,TRUE
1217,Friendly,04/04/1937,Belgium,2,1,Netherlands,,TRUE
1218,International Cup,11/04/1937,Switzerland,1,5,Hungary,,TRUE
1219,British Championship,17/04/1937,Scotland,3,1,England,,TRUE
1220,Friendly,18/04/1937,Belgium,1,2,Switzerland,,TRUE
1221,Friendly,25/04/1937,Germany,1,0,Belgium,,TRUE
1222,Friendly,02/05/1937,Netherlands,1,0,Belgium,,TRUE
1223,Friendly,02/05/1937,Switzerland,0,1,Germany,,TRUE
1224,Friendly,14/05/1937,Norway,0,6,England,,TRUE
1225,Friendly,16/05/1937,Germany,8,0,Denmark,,TRUE
1226,Friendly,17/05/1937,Sweden,0,4,England,,TRUE
1227,Friendly,17/05/1937,Switzerland,0,1,Republic of Ireland,,TRUE
1228,Friendly,20/05/1937,Finland,0,8,England,,TRUE
1229,Friendly,23/05/1937,France,0,2,Republic of Ireland,,TRUE
1230,Friendly,06/06/1937,Yugoslavia,1,1,Belgium,,TRUE
1231,Friendly,10/06/1937,Romania,2,1,Belgium,,TRUE
1232,Nordic Championship,13/06/1937,Denmark,5,1,Norway,,TRUE
1233,Friendly,23/06/1937,Poland,3,1,Sweden,,TRUE
1234,Friendly,25/06/1937,Latvia,1,3,Germany,,TRUE
1235,FIFA World Cup qualification,29/06/1937,Finland,0,2,Germany,,TRUE
1236,Friendly,04/07/1937,Poland,2,4,Romania,,TRUE
1237,FIFA World Cup qualification,29/08/1937,Germany,4,1,Estonia,,TRUE
1238,Friendly,29/08/1937,Denmark,1,11,Basque Country,,TRUE
1239,Friendly,12/09/1937,Bulgaria,3,3,Poland,,TRUE
1240,Friendly,12/09/1937,Mexico,7,2,United States,,TRUE
1241,Friendly,12/09/1937,Poland,3,1,Denmark,,TRUE
1242,International Cup,19/09/1937,Austria,4,3,Switzerland,,TRUE
1243,Friendly,19/09/1937,Mexico,7,3,United States,,TRUE
1244,Nordic Championship,03/10/1937,Sweden,1,2,Denmark,,TRUE
1245,Friendly,10/10/1937,France,2,1,Switzerland,,TRUE
1246,FIFA World Cup qualification,10/10/1937,Poland,4,0,Yugoslavia,,TRUE
1247,Friendly,10/10/1937,Poland,2,1,Latvia,,TRUE
1248,Copa Newton,10/10/1937,Uruguay,0,3,Argentina,,TRUE
1249,Nordic Championship,17/10/1937,Denmark,2,1,Finland,,TRUE
1250,British Championship,23/10/1937,Northern Ireland,1,5,England,,TRUE
1251,Friendly,24/10/1937,Germany,3,0,Norway,,TRUE
1252,British Championship,30/10/1937,Wales,2,1,Scotland,,TRUE
1253,Friendly,31/10/1937,Netherlands,2,3,France,,TRUE
1254,International Cup,31/10/1937,Switzerland,2,2,Italy,,TRUE
1255,Copa Lipton,11/11/1937,Argentina,5,1,Uruguay,,TRUE
1256,International Cup,14/11/1937,Hungary,2,0,Switzerland,,TRUE
1257,British Championship,17/11/1937,England,2,1,Wales,,TRUE
1258,FIFA World Cup qualification,21/11/1937,Germany,5,0,Sweden,,TRUE
1259,FIFA World Cup qualification,28/11/1937,Netherlands,4,0,Luxembourg,,TRUE
1260,Friendly,28/11/1937,Spain,1,2,Portugal,,TRUE
1261,Friendly,28/11/1937,Mexico,1,4,Basque Country,,TRUE
1262,Friendly,01/12/1937,England,5,4,Czechoslovakia,,TRUE
1263,Friendly,05/12/1937,France,0,0,Italy,,TRUE
1264,Friendly,05/12/1937,Mexico,1,2,Basque Country,,TRUE
1265,Friendly,12/12/1937,Mexico,0,4,Basque Country,,TRUE
1266,Friendly,09/01/1938,Portugal,4,0,Hungary,,TRUE
1267,Friendly,09/01/1938,Mexico,3,1,Basque Country,,TRUE
1268,Friendly,30/01/1938,France,5,3,Belgium,,TRUE
1269,Friendly,30/01/1938,Portugal,1,0,Spain,,TRUE
1270,Friendly,06/02/1938,Germany,1,1,Switzerland,,TRUE
1271,Friendly,27/02/1938,Netherlands,7,2,Belgium,,TRUE
1272,FIFA World Cup qualification,13/03/1938,Luxembourg,2,3,Belgium,,TRUE
1273,Friendly,13/03/1938,Switzerland,3,3,Poland,,TRUE
1274,British Championship,16/03/1938,Northern Ireland,1,0,Wales,,TRUE
1275,Friendly,20/03/1938,Germany,2,1,Luxembourg,,TRUE
1276,Friendly,20/03/1938,Germany,1,1,Hungary,,TRUE
1277,Friendly,24/03/1938,France,6,1,Bulgaria,,TRUE
1278,FIFA World Cup qualification,03/04/1938,Belgium,1,1,Netherlands,,TRUE
1279,International Cup,03/04/1938,Switzerland,4,0,Czechoslovakia,,TRUE
1280,FIFA World Cup qualification,03/04/1938,Yugoslavia,1,0,Poland,,TRUE
1281,British Championship,09/04/1938,England,0,1,Scotland,,TRUE
1282,Friendly,24/04/1938,Germany,1,1,Portugal,,TRUE
1283,FIFA World Cup qualification,01/05/1938,Switzerland,2,1,Portugal,,FALSE
1284,Friendly,08/05/1938,Switzerland,0,3,Belgium,,TRUE
1285,Friendly,14/05/1938,Germany,3,6,England,,TRUE
1286,Friendly,15/05/1938,Italy,6,1,Belgium,,TRUE
1287,Friendly,21/05/1938,Netherlands,1,3,Scotland,,TRUE
1288,Friendly,21/05/1938,Switzerland,2,1,England,,TRUE
1289,Friendly,22/05/1938,Poland,6,0,Republic of Ireland,,TRUE
1290,Friendly,26/05/1938,France,2,4,England,,TRUE
1291,Friendly,29/05/1938,Belgium,2,2,Yugoslavia,,TRUE
1292,Friendly,18/06/1938,Argentina,1,0,Uruguay,,TRUE
1293,Nordic Championship,21/06/1938,Denmark,0,1,Sweden,,TRUE
1294,Friendly,26/06/1938,Netherlands,9,2,Indonesia,,TRUE
1295,Bolivarian Games,08/08/1938,Bolivia,1,1,Ecuador,,FALSE
1296,Bolivarian Games,10/08/1938,Colombia,1,2,Ecuador,,TRUE
1297,Bolivarian Games,11/08/1938,Ecuador,1,9,Peru,,FALSE
1298,Bolivarian Games,19/08/1938,Ecuador,5,2,Venezuela,,FALSE
1299,Bolivarian Games,22/08/1938,Bolivia,2,1,Ecuador,,FALSE
1300,Nordic Championship,31/08/1938,Finland,2,1,Denmark,,TRUE
1301,Friendly,03/09/1938,Australia,5,3,India,,TRUE
1302,Friendly,10/09/1938,Australia,4,4,India,,TRUE
1303,Friendly,17/09/1938,Australia,1,4,India,,TRUE
1304,Friendly,18/09/1938,Germany,4,1,Poland,,TRUE
1305,Friendly,18/09/1938,Republic of Ireland,4,0,Switzerland,,TRUE
1306,Nordic Championship,18/09/1938,Norway,1,1,Denmark,,TRUE
1307,Friendly,24/09/1938,Australia,5,4,India,,TRUE
1308,Friendly,25/09/1938,Latvia,2,1,Poland,,TRUE
1309,Friendly,25/09/1938,Poland,4,4,Yugoslavia,,TRUE
1310,Friendly,25/09/1938,Romania,1,4,Germany,,TRUE
1311,Friendly,01/10/1938,Australia,3,1,India,,TRUE
1312,Friendly,12/10/1938,Uruguay,2,3,Argentina,,TRUE
1313,Friendly,16/10/1938,Mexico,8,4,Basque Country,,TRUE
1314,British Championship,22/10/1938,Wales,4,2,England,,TRUE
1315,Friendly,23/10/1938,Denmark,2,2,Netherlands,,TRUE
1316,Friendly,23/10/1938,Poland,2,2,Norway,,TRUE
1317,Friendly,23/10/1938,Mexico,2,6,Basque Country,,TRUE
